RI-HEAP release dynamic-usage=412324032
RI-BOOK books/store-node.lisp fns=65 thms=116 reached=58
RI-BOOK books/topic-history-prefix.lisp fns=5 thms=3 reached=5
RI-BOOK books/consumer-event-index.lisp fns=19 thms=28 reached=16
RI-BOOK books/msgid-index-concrete.lisp fns=6 thms=5 reached=2
RI-BOOK books/msgid-index.lisp fns=14 thms=20 reached=9
RI-BOOK books/consumer-store-projection.lisp fns=4 thms=2 reached=4
RI-BOOK books/stx-reader.lisp fns=3 thms=4 reached=3
RI-BOOK books/stx-index.lisp fns=26 thms=29 reached=16
RI-BOOK books/store-files-invariants.lisp fns=4 thms=62 reached=0
RI-BOOK books/store-files.lisp fns=57 thms=21 reached=47
RI-BOOK books/replay.lisp fns=27 thms=31 reached=24
RI-BOOK books/store-events.lisp fns=21 thms=2 reached=21
RI-BOOK books/topic-history-store-events.lisp fns=9 thms=4 reached=9
RI-BOOK books/topic-history-local-admin.lisp fns=8 thms=3 reached=8
RI-BOOK books/topic-history-admission.lisp fns=17 thms=5 reached=17
RI-BOOK books/topic-history-authorship.lisp fns=4 thms=5 reached=4
RI-BOOK books/topic-history-metadata.lisp fns=26 thms=4 reached=25
RI-BOOK books/consumer-store-events.lisp fns=13 thms=1 reached=13
RI-BOOK books/consumer-position.lisp fns=30 thms=58 reached=29
RI-BOOK books/node-retention-transitions.lisp fns=1 thms=17 reached=0
RI-BOOK books/retention-invariants.lisp fns=0 thms=17 reached=0
RI-BOOK books/node-invariants.lisp fns=0 thms=20 reached=0
RI-BOOK books/acceptance-invariants.lisp fns=0 thms=36 reached=0
RI-BOOK books/public-exposure-rows.lisp fns=2 thms=0 reached=2
RI-BOOK books/config.lisp fns=180 thms=45 reached=162
RI-BOOK books/hybrid-store-injected.lisp fns=4 thms=3 reached=4
RI-BOOK books/injection.lisp fns=77 thms=11 reached=70
RI-BOOK books/injection-path.lisp fns=44 thms=3 reached=44
RI-BOOK books/hybrid-store.lisp fns=24 thms=15 reached=24
RI-BOOK books/control-classify.lisp fns=20 thms=6 reached=18
RI-BOOK books/hybrid-carrier.lisp fns=33 thms=13 reached=27
RI-BOOK books/records-stamp.lisp fns=1 thms=2 reached=1
RI-BOOK books/clock.lisp fns=18 thms=9 reached=16
RI-BOOK books/identity.lisp fns=21 thms=0 reached=19
RI-BOOK books/frame.lisp fns=5 thms=0 reached=5
RI-BOOK books/frame-journal.lisp fns=15 thms=8 reached=14
RI-BOOK books/frame-fields.lisp fns=42 thms=25 reached=37
RI-BOOK books/wildmat.lisp fns=62 thms=22 reached=57
RI-BOOK books/frame-octets.lisp fns=8 thms=28 reached=8
RI-BOOK books/injection-shape.lisp fns=8 thms=0 reached=8
RI-BOOK books/mailbox.lisp fns=21 thms=1 reached=20
RI-BOOK books/article-fields.lisp fns=31 thms=5 reached=31
RI-BOOK books/stx-accept-records.lisp fns=22 thms=16 reached=22
RI-BOOK books/stx-keyring-records.lisp fns=28 thms=13 reached=26
RI-BOOK books/stx-evidence-records.lisp fns=27 thms=18 reached=23
RI-BOOK books/stx-lace.lisp fns=9 thms=17 reached=5
RI-BOOK books/node.lisp fns=58 thms=39 reached=47
RI-BOOK books/retention.lisp fns=41 thms=43 reached=40
RI-BOOK books/provenance.lisp fns=35 thms=65 reached=34
RI-BOOK books/acceptance.lisp fns=52 thms=55 reached=50
RI-BOOK books/acceptance-alloc.lisp fns=43 thms=13 reached=34
RI-BOOK books/lace-invariants.lisp fns=0 thms=62 reached=0
RI-BOOK books/lace.lisp fns=20 thms=5 reached=1
RI-BOOK books/stx-verify.lisp fns=16 thms=19 reached=14
RI-BOOK books/principal.lisp fns=27 thms=6 reached=8
RI-BOOK books/stx-carrier.lisp fns=26 thms=25 reached=20
RI-BOOK books/statement-invariants.lisp fns=1 thms=55 reached=0
RI-BOOK books/statement.lisp fns=56 thms=24 reached=37
RI-BOOK books/hybrid-signature.lisp fns=14 thms=5 reached=14
RI-BOOK books/hybrid-profile.lisp fns=0 thms=0 reached=0
RI-BOOK books/article.lisp fns=45 thms=24 reached=44
RI-BOOK [books]/std/lists/rev.lisp fns=2 thms=16 reached=0
RI-BOOK [books]/std/lists/equiv.lisp fns=2 thms=38 reached=0
RI-BOOK [books]/std/lists/list-fix.lisp fns=1 thms=19 reached=0
RI-BOOK [books]/std/lists/abstract.lisp fns=20 thms=75 reached=0
RI-BOOK books/store-config.lisp fns=4 thms=7 reached=4
